District,4thmath,8thmath,11thmath,4th read,8th read,11th read,8th sci,11th sci,size,size(coded),small size,med size,large size,salary,experience,4th avg,8th avg,11th avg,Math avg,Read avg,Sci avg
Calamus-Wheatland,68,73,88,68,59,79,57,73,537,1,1,0,0,31288.6,11.2,68,63,80,76.3333,68.6667,65
Southeast Webster,65,61,76,60,48,39,54,37,535,1,1,0,0,30710,10.89,62.5,54.3333,50.6667,67.3333,49,45.5
Lynnville-Sully,76,80,90,73,76,90,75,85,533,1,1,0,0,31516.6,12.47,74.5,77,88.3333,82,79.6667,80
North Scott,87,78,77,86,70,72,65,65,531,1,1,0,0,32973.7,11.05,86.5,71,71.3333,80.6667,76,65
Coon Rapids-Bayard,78,74,76,78,74,76,84,83,528,1,1,0,0,31030.3,11.73,78,77.3333,78.3333,76,76,83.5
East Union,67,65,84,73,53,48,67,47,525,1,1,0,0,28201.7,9.2,70,61.6667,59.6667,72,58,57
Collins-Maxwell,62,68,*,69,72,*,88,87,520,1,1,0,0,29677.4,8.07,65.5,76,*,*,*,87.5
Harmony,62,81,85,69,78,88,*,*,517,1,1,0,0,29395,9.5,65.5,*,*,76,78.3333,*
Twin Cedars,74,80,73,81,74,71,85,70,517,1,1,0,0,30070.8,11.79,77.5,79.6667,71.3333,75.6667,75.3333,77.5
River Valley,82,87,85,77,72,68,77,83,513,1,1,0,0,29228.2,11.59,79.5,78.6667,78.6667,84.6667,72.3333,80
Guttenberg,83,71,87,71,71,84,*,*,511,1,1,0,0,33004.3,13.38,77,*,*,80.3333,75.3333,*
Dunkerton,66,69,78,60,73,75,71,83,509,1,1,0,0,30847.7,10.83,63,71,78.6667,71,69.3333,77
Kingsley-Pierson,86,87,87,80,73,83,73,85,507,1,1,0,0,40151.4,12.31,83,77.6667,85,86.6667,78.6667,79
Van Meter,84,85,86,80,79,86,77,76,507,1,1,0,0,32634.1,11.47,82,80.3333,82.6667,85,81.6667,76.5
Ackley-Geneva,75,71,65,80,73,79,76,80,506,1,1,0,0,32222.7,8.7,77.5,73.3333,74.6667,70.3333,77.3333,78
Eastern Allamakee,83,70,77,63,63,65,75,67,505,1,1,0,0,29120.6,8.53,73,69.3333,69.6667,76.6667,63.6667,71
Hubbard-Radcliffe,77,80,93,77,71,78,71,73,502,1,1,0,0,32279.5,8.78,77,74,81.3333,83.3333,75.3333,72
Martensdale-St Marys,72,86,80,68,74,74,95,75,502,1,1,0,0,29010.2,8.93,70,85,76.3333,79.3333,72,85
English Valleys,66,70,66,55,51,68,*,*,500,1,1,0,0,32770.4,12.19,60.5,*,*,67.3333,58,*
Northeast Hamilton,90,81,67,68,65,81,88,83,498,1,1,0,0,34294,10.62,79,78,77,79.3333,71.3333,85.5
Schaller-Crestland,70,86,64,64,83,83,88,*,498,1,1,0,0,32042.2,9.87,67,85.6667,*,73.3333,76.6667,*
Tripoli,75,92,96,88,79,82,95,100,497,1,1,0,0,36631,18.13,81.5,88.6667,92.6667,87.6667,83,97.5
West Harrison,65,67,71,58,63,70,66,68,490,1,1,0,0,31995,12.53,61.5,65.3333,69.6667,67.6667,63.6667,67
Panorama,88,76,79,83,71,69,67,49,487,1,1,0,0,33488.7,11.19,85.5,71.3333,65.6667,81,74.3333,58
Laurens-Marathon,81,95,83,70,72,89,92,63,485,1,1,0,0,33738.1,13.44,75.5,86.3333,78.3333,86.3333,77,77.5
Central City,61,75,59,66,75,62,93,59,483,1,1,0,0,28446.4,6.65,63.5,81,60,65,67.6667,76
Newell-Fonda,70,75,74,69,62,59,79,61,469,1,1,0,0,30849.6,11.5,69.5,72,64.6667,73,63.3333,70
Fremont-Mills,60,80,67,60,68,60,68,81,468,1,1,0,0,34407.6,19.48,60,72,69.3333,69,62.6667,74.5
Lone Tree,79,69,74,62,72,79,72,85,467,1,1,0,0,29398.3,7.24,70.5,71,79.3333,74,71,78.5
Ar-We-Va,89,75,91,82,75,77,75,84,456,1,1,0,0,32824.4,12.33,85.5,75,84,85,78,79.5
Springville,75,72,73,64,61,58,*,*,449,1,1,0,0,29637.2,11.82,69.5,*,*,73.3333,61,*
Riceville,75,75,74,67,87,55,85,72,447,1,1,0,0,31937.9,14.05,71,82.3333,67,74.6667,69.6667,78.5
IKM,85,91,86,82,76,77,92,84,445,1,1,0,0,32115.2,11.66,83.5,86.3333,82.3333,87.3333,78.3333,88
East Central,90,64,76,77,67,70,64,73,439,1,1,0,0,31990.3,10.21,83.5,65,73,76.6667,71.3333,68.5
Villisca,81,73,90,62,70,75,67,83,439,1,1,0,0,32117.8,13.75,71.5,70,82.6667,81.3333,69,75
West Bend-Mallard,87,83,84,54,63,76,56,61,438,1,1,0,0,29393.8,8.38,70.5,67.3333,73.6667,84.6667,64.3333,58.5
H-L-V,74,66,72,71,63,68,82,68,435,1,1,0,0,35784.7,20.6,72.5,70.3333,69.3333,70.6667,67.3333,75
Norwalk,77,77,73,72,72,66,68,72,434,1,1,0,0,31543.6,14.56,74.5,72.3333,70.3333,75.6667,70,70
East Greene,42,74,71,45,55,55,74,53,430,1,1,0,0,32498.3,9.88,43.5,67.6667,59.6667,62.3333,51.6667,63.5
Greene,94,69,92,82,77,73,85,81,429,1,1,0,0,32719.7,11.51,88,77,82,85,77.3333,83
Rockwell-Swaledale,63,64,71,56,67,68,59,61,428,1,1,0,0,30260.6,10.41,59.5,63.3333,66.6667,66,63.6667,60
Melcher-Dallas,45,50,90,39,38,74,*,*,427,1,1,0,0,31025.2,10.28,42,*,*,61.6667,50.3333,*
Sidney,62,77,84,47,69,87,57,72,426,1,1,0,0,30582.4,11.21,54.5,67.6667,81,74.3333,67.6667,64.5
GMG,88,65,47,88,59,59,61,71,424,1,1,0,0,29645.1,10.95,88,61.6667,59,66.6667,68.6667,66
Armstrong-Ringsted,53,60,62,48,58,60,67,74,421,1,1,0,0,31290,13.21,50.5,61.6667,65.3333,58.3333,55.3333,70.5
Glidden-Ralston,66,88,77,70,86,73,86,83,413,1,1,0,0,32567.6,15.43,68,86.6667,77.6667,77,76.3333,84.5
Remsen-Union,88,86,82,72,77,73,100,91,413,1,1,0,0,28878.6,8.57,80,87.6667,82,85.3333,74,95.5
Seymour,68,64,89,58,73,86,*,*,411,1,1,0,0,28645.5,10.54,63,*,*,73.6667,72.3333,*
Lenox,60,76,78,56,71,69,68,75,407,1,1,0,0,30043.4,10.83,58,71.6667,74,71.3333,65.3333,71.5
Fredericksburg,70,77,93,53,69,86,*,*,406,1,1,0,0,33065,12.23,61.5,*,*,80,69.3333,*
Malvern,70,75,55,63,67,41,64,36,401,1,1,0,0,26426.3,9.33,66.5,68.6667,44,66.6667,57,50
North Iowa,75,76,83,48,67,83,70,71,391,1,1,0,0,31296.7,10.07,61.5,71,79,78,66,70.5
Baxter,89,62,86,78,65,*,73,*,386,1,1,0,0,31234.4,12.38,83.5,66.6667,*,79,*,*
Keota,76,75,78,65,68,55,54,59,386,1,1,0,0,29571.5,11.74,70.5,65.6667,64,76.3333,62.6667,56.5
Adair-Casey,68,72,79,70,62,85,61,82,385,1,1,0,0,29164.7,10.73,69,65,82,73,72.3333,71.5
Clarksville,64,69,86,54,68,72,50,77,384,1,1,0,0,29064.4,9.53,59,62.3333,78.3333,73,64.6667,63.5
Lamoni,80,68,80,60,58,72,78,75,370,1,1,0,0,29373.2,11.29,70,68,75.6667,76,63.3333,76.5
Murray,54,65,42,63,71,48,*,*,366,1,1,0,0,27542.8,6.06,58.5,*,*,53.6667,60.6667,*
Alden,70,73,62,58,50,66,52,79,359,1,1,0,0,29861.6,9.58,64,58.3333,69,68.3333,58,65.5
Moravia,81,61,84,54,55,74,67,79,356,1,1,0,0,30440.4,13.68,67.5,61,79,75.3333,61,73
Aurelia,86,81,70,75,76,82,*,*,355,1,1,0,0,31964,11.81,80.5,*,*,79,77.6667,*
Andrew,86,81,75,57,72,68,95,95,354,1,1,0,0,31109.1,16.63,71.5,82.6667,79.3333,80.6667,65.6667,95
Preston,70,78,96,65,67,74,67,78,354,1,1,0,0,31630.3,14.63,67.5,70.6667,82.6667,81.3333,68.6667,72.5
Allison-Bristow,89,83,79,74,62,59,69,73,350,1,1,0,0,28270.5,8.7,81.5,71.3333,70.3333,83.6667,65,71
Farragut,67,71,77,59,64,73,*,*,346,1,1,0,0,30173.6,10.74,63,*,*,71.6667,65.3333,*
Aplington-Parkersburg,59,81,80,63,76,75,*,*,343,1,1,0,0,37843,14.74,61,*,*,73.3333,71.3333,*
Ventura,77,69,71,68,69,70,69,65,339,1,1,0,0,28254.5,7.94,72.5,69,68.6667,72.3333,69,67
Harris-Lake Park,94,73,95,70,85,90,78,90,338,1,1,0,0,29421.5,7.2,82,78.6667,91.6667,87.3333,81.6667,84
North Tama County,55,83,82,64,73,76,86,76,338,1,1,0,0,31021.7,12.44,59.5,80.6667,78,73.3333,71,81
Elk Horn-Kimballton,55,80,73,55,76,73,86,82,330,1,1,0,0,30159.1,11.96,55,80.6667,76,69.3333,68,84
Stanton,83,88,96,92,85,75,97,87,327,1,1,0,0,33989.6,15.32,87.5,90,86,89,84,92
Charter Oak-Ute,56,86,76,61,64,64,77,70,318,1,1,0,0,28830.2,7.23,58.5,75.6667,70,72.6667,63,73.5
Nish Valley,59,77,*,80,84,*,95,*,318,1,1,0,0,28791.4,13.13,69.5,85.3333,*,*,*,*
Anita,67,80,85,52,75,93,63,*,317,1,1,0,0,28896.3,12.34,59.5,72.6667,*,77.3333,73.3333,*
Olin Consolidated,50,47,72,67,47,33,*,*,317,1,1,0,0,29352.2,9.97,58.5,*,*,56.3333,49,*
Hamburg,55,70,67,73,74,58,96,65,315,1,1,0,0,30396.4,12.62,64,80,63.3333,64,68.3333,80.5
Sheffield-Chapin,59,61,81,59,70,77,69,*,312,1,1,0,0,31983.4,16,59,66.6667,*,67,68.6667,*
George-Little Rock,75,74,74,84,75,85,*,*,309,1,1,0,0,30532.5,9.46,79.5,*,*,74.3333,81.3333,*
Exira,86,70,69,76,65,41,64,28,303,1,1,0,0,29050.4,12.29,81,66.3333,46,75,60.6667,46
Janesville Consolidated,73,73,91,62,61,96,65,83,303,1,1,0,0,32325.5,15.23,67.5,66.3333,90,79,73,74
North-Linn,71,66,85,64,73,53,63,54,301,1,1,0,0,31153.2,10.24,67.5,67.3333,64,74,63.3333,58.5
Pomeroy-Palmer,86,83,77,86,77,70,*,*,298,1,1,0,0,32274.6,13.96,86,*,*,82,77.6667,*
Essex,71,60,74,71,48,78,76,93,295,1,1,0,0,29995,10.52,71,61.3333,81.6667,68.3333,65.6667,84.5
Graettinger,77,67,85,64,60,79,*,*,294,1,1,0,0,27805.5,9.13,70.5,*,*,76.3333,67.6667,*
Mormon Trail,79,73,81,86,54,82,68,80,294,1,1,0,0,25957.6,5.97,82.5,65,81,77.6667,74,74
Moulton-Udell,92,68,79,88,68,79,*,*,294,1,1,0,0,30653.8,13.81,90,*,*,79.6667,78.3333,*
Okoboji,76,71,87,63,71,*,*,*,294,1,1,0,0,28775.2,7.1,69.5,*,*,78,*,*
Walnut,77,80,85,73,77,*,*,*,277,1,1,0,0,29510.8,13.65,75,*,*,80.6667,*,*
Ruthven-Ayrshire,94,56,80,96,48,50,63,67,272,1,1,0,0,29276.8,9.52,95,55.6667,65.6667,76.6667,64.6667,65
Twin Rivers,82,75,80,82,50,68,*,*,247,1,1,0,0,27815,6.7,82,*,*,79,66.6667,*
Bennett,71,75,87,65,75,73,100,86,244,1,1,0,0,27046,6.43,68,83.3333,82,77.6667,71,93
C and M,86,77,70,86,77,55,*,*,244,1,1,0,0,28089.9,13.38,86,*,*,77.6667,72.6667,*
Albert City-Truesdale,71,85,90,71,90,63,*,*,242,1,1,0,0,27282.4,9.25,71,*,*,82,74.6667,*
Whiting,77,86,*,74,93,74,*,*,237,1,1,0,0,30344.1,11.76,75.5,*,*,*,80.3333,*
Garvillo,85,81,83,80,90,78,68,70,217,1,1,0,0,31393.6,13.34,82.5,79.6667,77,83,82.6667,69
Terril,41,45,63,47,64,68,72,69,215,1,1,0,0,30226.4,12.63,44,60.3333,66.6667,49.6667,59.6667,70.5
Paton-Churdan,70,72,88,60,67,82,80,83,199,1,1,0,0,26859.5,6.5,65,73,84.3333,76.6667,69.6667,81.5
Fox Valley,70,57,50,50,57,19,43,44,188,1,1,0,0,25851.7,5.77,60,52.3333,37.6667,59,42,43.5
Titonka Consolidated,52,*,69,69,*,49,*,66,186,1,1,0,0,27616.9,9,60.5,*,61.3333,*,*,*
Schleswig,62,90,*,58,65,*,80,*,175,1,1,0,0,28772.3,13.76,60,78.3333,*,*,*,*
Corwith-Wesley,69.9,57.9,47,63,50.6,87,73,34.5,174,1,1,0,0,26663.4,5.8,66.45,60.5,56.1667,58.2667,66.8667,53.75
Dows,44,68,*,38,68,*,93,*,171,1,1,0,0,27769.6,6.94,41,76.3333,*,*,*,*
Russell,55,*,71,64,*,43,72,58,163,1,1,0,0,26359.1,6.09,59.5,*,57.3333,*,*,65
New Market,57,70,*,64,80,*,80,*,118,1,1,0,0,28965.5,9.69,60.5,76.6667,*,*,*,*
Diagol,60,78,33,60,56,33,67,56,108,1,1,0,0,23889.5,8.09,60,67,40.6667,57,49.6667,61.5
Stuart-Menlo-Dexfield,82,70,72,67,61,59,68,67,105,1,1,0,0,29088.9,6,74.5,66.3333,66,74.6667,62.3333,67.5
East Mono,82,64,*,64,67,*,57,*,99,1,1,0,0,27898.5,8.54,73,62.6667,*,*,*,*
Lineville-Clio,*,57,60,*,64,67,64,80,99,1,1,0,0,23911.7,10.72,*,61.6667,69,*,*,72
